#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
1.0000e+03    1.0000e+01    1.0000e-02    1.0000e+01    1.0000e+02    3.5000e+01    4.0000e+01    2.1419e+00    3.2491e-01    4.4850e+02    4.7561e-01    4.2010e-01    3.0774e-01    2.0996e+02    5.8764e-01    5.9444e-01    3.2918e-01    5.0777e+02    4.4778e-01    3.9331e-01    3.0784e-01    2.0781e+02    5.9023e-01    5.9700e-01    3.2765e-01    4.8709e+02    4.5724e-01    4.0216e-01    3.0774e-01    2.1426e+02    5.8278e-01    5.8954e-01    3.3167e-01    5.4073e+02    4.3342e-01    3.8018e-01    1.9902e-01    8.0098e-01    1.3815e-01    8.6185e-01    2.8250e-01    7.1750e-01    4.6890e-11    -4.7111e-03    1.1706e-03    -4.8055e-03    7.7033e-04    -4.3898e-03    1.7284e-03    nan    7.2215e-01    nan    3.3715e-01    
# Index 028: Re = 1000.00, Pe =  10.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e-02    1.0000e+01    1.0000e+03    3.5000e+01    7.0000e+01    2.2869e+00    2.2418e-02    3.5591e+02    4.7319e-01    3.8562e-01    1.9410e-02    1.6160e+02    5.6660e-01    5.4050e-01    2.4919e-02    5.1470e+02    3.9550e-01    3.2592e-01    1.9097e-02    1.5412e+02    5.7562e-01    5.4827e-01    2.3994e-02    4.4959e+02    4.2432e-01    3.4712e-01    1.9810e-02    1.7638e+02    5.5065e-01    5.2420e-01    2.6368e-02    6.2509e+02    3.5593e-01    2.9735e-01    4.5550e-01    5.4450e-01    3.2415e-01    6.7585e-01    6.0318e-01    3.9682e-01    7.5244e-12    -7.5049e-04    6.3593e-04    -8.6659e-04    4.2070e-04    -6.6932e-04    1.0358e-03    nan    3.8844e-01    nan    1.6933e-01    
# Index 029: Re = 1000.00, Pe =  10.00, B = 1000.00
1.0000e+03    1.0000e+03    1.0000e-02    1.0000e+01    1.0000e+04    9.4000e+01    9.5000e+01    2.8603e+00    9.7983e-04    4.1974e+02    2.5627e-01    1.8926e-01    9.5457e-04    4.0133e+02    2.5780e-01    1.9215e-01    2.0689e-03    1.2133e+03    1.9031e-01    1.4568e-01    9.1262e-04    3.7857e+02    2.5951e-01    1.9424e-01    1.6331e-03    8.1990e+02    2.2473e-01    1.6610e-01    9.6968e-04    4.1237e+02    2.5662e-01    1.9038e-01    3.4916e-03    2.2406e+03    1.6984e-01    1.3482e-01    9.7733e-01    2.2665e-02    9.0672e-01    9.3277e-02    9.9597e-01    4.0281e-03    1.7424e-11    -1.2114e-04    5.2236e-03    -2.8637e-04    2.7837e-03    -2.1876e-05    5.4090e-03    nan    1.7551e-01    nan    6.1359e-02    
# Index 030: Re = 1000.00, Pe =  10.00, B =   3.00
1.0000e+03    3.0000e+00    1.0000e-02    1.0000e+01    3.0000e+01    6.2000e+01    6.3000e+01    1.7696e+00    9.2970e-01    3.4806e+02    4.6940e-01    4.4486e-01    8.7770e-01    1.6674e+02    5.7240e-01    6.1228e-01    9.4013e-01    3.8443e+02    4.4872e-01    4.2318e-01    8.7759e-01    1.6569e+02    5.7374e-01    6.1374e-01    9.3727e-01    3.7457e+02    4.5422e-01    4.2880e-01    8.7791e-01    1.6846e+02    5.7014e-01    6.0989e-01    9.4418e-01    3.9829e+02    4.4121e-01    4.1560e-01    1.6710e-01    8.3290e-01    1.2693e-01    8.7307e-01    2.1859e-01    7.8141e-01    -1.1453e-10    -5.7623e-03    1.1561e-03    -5.9599e-03    8.6648e-04    -5.4616e-03    1.5278e-03    nan    8.5889e-01    nan    4.8536e-01    



