#Re    B    Pr    Pe    BPe    lb    ub    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    wrms    lam wrms    turb wrms    lam_Fr wrms    turb_Fr wrms    lam_Fr_vortz wrms    turb_Fr_vortz wrms    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    
6.0002e+02    3.0000e+01    1.0000e-01    6.0002e+01    1.8001e+03    3.7500e+02    5.6000e+02    2.4760e+00    6.7028e-01    2.9417e+02    4.3444e-01    4.0682e-01    5.4237e-01    1.4251e+02    4.9694e-01    5.3005e-01    7.5200e-01    3.9032e+02    3.9346e-01    3.6632e-01    5.3417e-01    1.3802e+02    5.0067e-01    5.3415e-01    7.1837e-01    3.4871e+02    4.1044e-01    3.8216e-01    5.5608e-01    1.5215e+02    4.8868e-01    5.2010e-01    8.0980e-01    4.6723e+02    3.6627e-01    3.4211e-01    3.9950e-01    6.0050e-01    2.6951e-01    7.3049e-01    5.5925e-01    4.4075e-01    -9.4698e-12    -6.2392e-04    3.0013e-04    -7.4153e-04    1.7263e-04    -4.4203e-04    4.5434e-04    nan    7.5158e-01    nan    3.0464e-01    
# Index 007: Re = 600.02, Pe =  60.00, B = 3000.00
6.0002e+02    3.0000e+03    1.0000e-01    6.0002e+01    1.8001e+05    6.5000e+02    9.0000e+02    2.5083e+00    1.6178e-03    3.5323e+02    1.7730e-01    1.2127e-01    1.6119e-03    3.5220e+02    1.7727e-01    1.2117e-01    nan    nan    1.4995e-01    nan    1.5211e-03    3.4547e+02    1.7479e-01    1.1722e-01    6.9800e-03    6.1859e+02    3.6650e-01    2.8643e-01    1.6178e-03    3.5323e+02    1.7730e-01    1.2127e-01    nan    nan    0.0000e+00    nan    9.9930e-01    6.9992e-04    9.8223e-01    1.7771e-02    1.0000e+00    0.0000e+00    -2.3877e-12    -1.7452e-07    nan    6.7073e-06    -2.4981e-04    -2.3877e-12    nan    nan    1.5753e-02    nan    6.2962e-03    
# Index 008: Re = 600.02, Pe =  60.00, B = 400.00
6.0002e+02    4.0000e+02    1.0000e-01    6.0002e+01    2.4001e+04    2.2500e+02    4.6000e+02    2.5580e+00    2.3744e-02    4.0521e+02    2.3121e-01    1.8267e-01    1.9435e-02    3.6241e+02    2.2991e-01    1.7300e-01    8.8027e-02    1.1028e+03    2.5050e-01    2.2739e-01    1.6984e-02    3.4685e+02    2.2257e-01    1.6086e-01    5.3872e-02    6.7460e+02    2.7334e-01    2.3099e-01    2.0948e-02    3.7720e+02    2.3099e-01    1.7733e-01    1.5900e-01    1.9821e+03    2.2781e-01    2.2674e-01    9.4727e-01    5.2735e-02    8.3069e-01    1.6931e-01    9.8406e-01    1.5939e-02    -3.6027e-12    -1.1775e-05    3.7408e-04    -9.7951e-05    6.5050e-04    2.7643e-05    -5.9164e-04    nan    5.4277e-01    nan    2.1183e-01    
# Index 009: Re = 600.02, Pe =  60.00, B = 6000.00
6.0002e+02    6.0000e+03    1.0000e-01    6.0002e+01    3.6001e+05    4.0000e+01    1.8000e+02    2.1363e+00    5.3552e-04    2.3936e+02    1.8032e-01    1.1831e-01    5.3355e-04    2.3926e+02    1.8024e-01    1.1799e-01    nan    nan    1.2558e-01    nan    4.9835e-04    2.3789e+02    1.7811e-01    1.1172e-01    4.7304e-03    3.8579e+02    4.5068e-01    4.3255e-01    5.3552e-04    2.3936e+02    1.8032e-01    1.1831e-01    nan    nan    0.0000e+00    nan    9.9971e-01    2.9036e-04    9.9104e-01    8.9647e-03    1.0000e+00    0.0000e+00    -6.2039e-13    3.0310e-07    nan    3.2961e-07    1.6140e-04    -6.2039e-13    nan    nan    1.7712e-02    nan    8.1283e-03    



