#Re    B    Pr    Pe    BPe    t    avg_uh    tdisp    mdisp    eta (local)    eta (global)    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    lam_Fr tdisp    lam_Fr mdisp    lam_Fr eta (local)    lam_Fr eta (global)    lam_Fr_vortz tdisp    lam_Fr_vortz mdisp    lam_Fr_vortz eta (local)    lam_Fr_vortz eta (global)    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    turb_Fr tdisp    turb_Fr mdisp    turb_Fr eta (local)    turb_Fr eta (global)    turb_Fr_vortz tdisp    turb_Fr_vortz mdisp    turb_Fr_vortz eta (local)    turb_Fr_vortz eta (global)    vlam    vturb    vlam_Fr    vturb_Fr    vlam_Fr_vortz    vturb_Fr_vortz    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.4734e+01    2.6917e+00    9.3649e-10    1.1822e+01    1.9164e-07    7.9214e-08    1.0833e-09    6.3846e+00    2.7771e-07    1.6968e-07    6.7890e-10    2.1361e+01    4.0635e-08    3.1782e-08    1.2179e-09    5.2786e+00    3.7348e-07    2.3072e-07    7.4752e-10    1.6217e+01    6.9508e-08    4.6094e-08    9.6857e-10    9.6857e-10    2.1306e-07    1.1105e-07    6.8269e-10    3.6360e+01    2.2082e-08    1.8776e-08    6.3692e-01    3.6308e-01    4.0177e-01    5.9823e-01    8.8781e-01    1.1219e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.6715e+01    2.8945e+00    5.3000e-08    1.1781e+01    4.8619e-06    4.4986e-06    5.3550e-08    6.1512e+00    6.1119e-06    8.7055e-06    5.1917e-08    2.2869e+01    2.4003e-06    2.2702e-06    4.4912e-08    4.9870e+00    6.9736e-06    9.0057e-06    5.9018e-08    1.6837e+01    3.2907e-06    3.5053e-06    5.5155e-08    5.5155e-08    5.2890e-06    6.2441e-06    3.4008e-08    3.7761e+01    1.0984e-06    9.0062e-07    6.6322e-01    3.3678e-01    4.2662e-01    5.7338e-01    8.9808e-01    1.0192e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.8634e+01    2.8819e+00    3.4858e-07    1.1143e+01    1.1788e-04    3.1280e-05    3.4891e-07    6.2074e+00    1.5845e-04    5.6205e-05    3.4779e-07    2.2766e+01    2.2345e-05    1.5277e-05    3.3979e-07    5.3912e+00    2.0372e-04    6.3022e-05    3.5723e-07    1.6807e+01    3.3352e-05    2.1255e-05    3.6123e-07    3.6123e-07    1.2886e-04    4.3571e-05    2.2103e-07    3.9896e+01    7.2108e-06    5.5402e-06    7.0191e-01    2.9809e-01    4.9613e-01    5.0387e-01    9.0974e-01    9.0264e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.0483e+01    3.0895e+00    2.5653e-06    1.1616e+01    5.4435e-04    2.2079e-04    2.8546e-06    6.3868e+00    7.3000e-04    4.4675e-04    1.8904e-06    2.3817e+01    1.1119e-04    7.9365e-05    2.8433e-06    5.2797e+00    9.1109e-04    5.3824e-04    2.3117e-06    1.7395e+01    2.0985e-04    1.3288e-04    2.7507e-06    2.7507e-06    5.9669e-04    3.2345e-04    7.2354e-07    4.2553e+01    2.4474e-05    1.7003e-05    6.9999e-01    3.0001e-01    4.7702e-01    5.2298e-01    9.0854e-01    9.1465e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.2220e+01    3.5638e+00    5.1911e-05    1.3175e+01    6.1396e-03    3.9246e-03    5.5199e-05    6.9926e+00    7.6970e-03    7.8320e-03    4.4012e-05    2.8029e+01    2.3981e-03    1.5678e-03    5.6073e-05    5.7172e+00    8.8482e-03    9.7125e-03    4.8617e-05    1.9079e+01    3.9955e-03    2.5417e-03    5.5528e-05    5.5528e-05    6.7383e-03    5.8583e-03    1.7774e-05    4.8587e+01    4.8940e-04    3.6568e-04    7.0610e-01    2.9390e-01    4.4184e-01    5.5816e-01    9.0419e-01    9.5808e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.3897e+01    3.7037e+00    3.4993e-04    1.2247e+01    2.7873e-02    2.7778e-02    3.4902e-04    6.6830e+00    3.3740e-02    4.9633e-02    3.5247e-04    2.7740e+01    1.1540e-02    1.2547e-02    2.9821e-04    5.7340e+00    3.8044e-02    4.9437e-02    3.9715e-04    1.8195e+01    1.8585e-02    2.1361e-02    3.6889e-04    3.6889e-04    3.0071e-02    3.9736e-02    1.3321e-04    5.0340e+01    2.7551e-03    2.6392e-03    7.3574e-01    2.6426e-01    4.7731e-01    5.2269e-01    9.1954e-01    8.0456e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.5703e+01    3.5711e+00    2.0636e-03    1.2802e+01    1.0297e-01    1.3882e-01    2.1858e-03    7.5892e+00    1.2195e-01    2.2361e-01    1.6990e-03    2.8355e+01    4.6367e-02    5.6532e-02    2.0551e-03    6.3499e+00    1.3742e-01    2.4451e-01    2.0714e-03    1.8751e+01    7.1214e-02    9.9480e-02    2.1572e-03    2.1572e-03    1.0925e-01    1.7877e-01    6.7983e-04    5.5564e+01    1.0252e-02    1.2087e-02    7.4897e-01    2.5103e-01    4.7970e-01    5.2030e-01    9.3664e-01    6.3361e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.7374e+01    3.8470e+00    5.9899e-03    1.5120e+01    2.4873e-01    2.8375e-01    6.6560e-03    9.1356e+00    2.9748e-01    4.2149e-01    3.9628e-03    3.3331e+01    1.0040e-01    1.0626e-01    6.8880e-03    7.9726e+00    3.3510e-01    4.6351e-01    5.1924e-03    2.1466e+01    1.7205e-01    1.9478e-01    6.2297e-03    6.2297e-03    2.6304e-01    3.4590e-01    2.2282e-03    6.7500e+01    2.4269e-02    3.1956e-02    7.5267e-01    2.4733e-01    4.7031e-01    5.2969e-01    9.4007e-01    5.9931e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.8891e+01    4.0667e+00    1.3238e-02    2.0934e+01    3.1519e-01    3.8739e-01    1.5130e-02    1.5522e+01    3.6800e-01    4.9360e-01    7.1490e-03    3.8351e+01    1.4522e-01    1.5712e-01    1.6485e-02    1.4655e+01    3.9780e-01    5.2939e-01    1.0120e-02    2.6966e+01    2.3583e-01    2.7287e-01    1.4016e-02    1.4016e-02    3.3556e-01    4.4975e-01    2.1440e-03    7.4903e+01    2.4717e-02    2.7828e-02    7.6293e-01    2.3707e-01    4.8993e-01    5.1007e-01    9.3444e-01    6.5555e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.0259e+01    4.1439e+00    4.3861e-02    3.5521e+01    4.3311e-01    5.5253e-01    4.8415e-02    2.9544e+01    4.8642e-01    6.2103e-01    2.7958e-02    5.6398e+01    2.4691e-01    3.3142e-01    5.1450e-02    2.8807e+01    5.0952e-01    6.4106e-01    3.5205e-02    4.3180e+01    3.4595e-01    4.4913e-01    4.6393e-02    4.6393e-02    4.6269e-01    5.9731e-01    1.3980e-02    8.5627e+01    8.3857e-02    1.4035e-01    7.7741e-01    2.2259e-01    5.3284e-01    4.6716e-01    9.2190e-01    7.8098e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.1406e+01    4.1264e+00    1.0072e-01    7.3349e+01    5.0822e-01    5.7863e-01    1.1205e-01    6.8451e+01    5.6325e-01    6.2078e-01    6.4521e-02    8.9004e+01    3.3236e-01    4.2027e-01    1.2228e-01    6.7516e+01    5.8781e-01    6.4427e-01    7.7288e-02    7.9691e+01    4.2169e-01    4.9235e-01    1.0509e-01    1.0509e-01    5.3584e-01    6.0147e-01    5.1584e-02    1.1523e+02    1.9706e-01    3.0923e-01    7.6167e-01    2.3833e-01    5.2088e-01    4.7912e-01    9.1846e-01    8.1539e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.2299e+01    4.1749e+00    2.5123e-01    1.9497e+02    5.2694e-01    5.6305e-01    2.1077e-01    1.1889e+02    5.6767e-01    6.3935e-01    3.6619e-01    4.1113e+02    4.1122e-01    4.7109e-01    2.0324e-01    1.0572e+02    5.8236e-01    6.5782e-01    3.0331e-01    2.9183e+02    4.6679e-01    5.0964e-01    2.2491e-01    2.2491e-01    5.5478e-01    6.2117e-01    4.4633e-01    6.2344e+02    3.2055e-01    4.1722e-01    7.3968e-01    2.6032e-01    5.2048e-01    4.7952e-01    8.8113e-01    1.1887e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.3171e+01    4.1110e+00    2.6090e-01    1.6563e+02    5.5516e-01    6.1167e-01    2.4620e-01    1.1828e+02    5.9409e-01    6.7549e-01    2.9862e-01    2.8722e+02    4.5520e-01    5.0973e-01    2.4301e-01    1.0709e+02    6.0472e-01    6.9411e-01    2.7872e-01    2.2399e+02    5.0575e-01    5.5444e-01    2.5334e-01    2.5334e-01    5.8131e-01    6.5364e-01    3.1237e-01    3.7946e+02    3.7700e-01    4.5151e-01    7.1970e-01    2.8030e-01    4.9922e-01    5.0078e-01    8.7200e-01    1.2800e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.4273e+01    4.0857e+00    2.1758e-01    1.3024e+02    5.6377e-01    6.2555e-01    2.2096e-01    1.1053e+02    5.9523e-01    6.6656e-01    2.0644e-01    1.9525e+02    4.6006e-01    5.1393e-01    2.2320e-01    1.0250e+02    6.0694e-01    6.8530e-01    2.1104e-01    1.6256e+02    5.1350e-01    5.6488e-01    2.2156e-01    2.2156e-01    5.8419e-01    6.4901e-01    1.7865e-01    2.3215e+02    3.6420e-01    4.3488e-01    7.6731e-01    2.3269e-01    5.3804e-01    4.6196e-01    9.0721e-01    9.2795e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.5420e+01    4.0476e+00    2.4595e-01    1.6120e+02    5.5010e-01    6.0407e-01    2.3808e-01    1.3591e+02    5.7416e-01    6.3659e-01    2.7127e-01    2.4259e+02    4.7266e-01    5.2790e-01    2.3673e-01    1.2753e+02    5.8331e-01    6.4990e-01    2.5577e-01    1.9709e+02    5.1470e-01    5.6479e-01    2.4564e-01    2.4564e-01    5.6757e-01    6.2425e-01    2.4895e-01    2.8962e+02    3.8207e-01    4.6224e-01    7.6293e-01    2.3707e-01    5.1590e-01    4.8410e-01    9.0582e-01    9.4177e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.6486e+01    3.8676e+00    3.7983e-01    2.1232e+02    5.8871e-01    6.4144e-01    3.3558e-01    1.5992e+02    6.0420e-01    6.7726e-01    5.0380e-01    3.5912e+02    5.4531e-01    5.8383e-01    3.2171e-01    1.4540e+02    6.1129e-01    6.8872e-01    4.4036e-01    2.8200e+02    5.6519e-01    6.0961e-01    3.6098e-01    3.6098e-01    5.9924e-01    6.6740e-01    5.2916e-01    4.6907e+02    5.0532e-01    5.3010e-01    7.3695e-01    2.6305e-01    5.1013e-01    4.8987e-01    8.8787e-01    1.1213e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.7457e+01    3.6914e+00    4.1300e-01    2.3250e+02    5.8538e-01    6.3981e-01    3.1495e-01    1.4790e+02    6.0082e-01    6.8046e-01    6.4759e-01    4.3492e+02    5.4845e-01    5.9823e-01    2.9885e-01    1.3508e+02    6.0884e-01    6.8870e-01    5.1749e-01    3.2168e+02    5.6391e-01    6.1667e-01    3.4520e-01    3.4520e-01    5.9350e-01    6.7208e-01    8.7616e-01    6.7024e+02    5.2992e-01    5.6658e-01    7.0524e-01    2.9476e-01    4.7792e-01    5.2208e-01    8.7232e-01    1.2768e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.8474e+01    3.5337e+00    4.8699e-01    2.8885e+02    5.6945e-01    6.2769e-01    3.3918e-01    1.6364e+02    5.8452e-01    6.7455e-01    8.3425e-01    5.8304e+02    5.3405e-01    5.8863e-01    3.1779e-01    1.4802e+02    5.9127e-01    6.8223e-01    6.4308e-01    4.1878e+02    5.4933e-01    6.0562e-01    3.8198e-01    3.8198e-01    5.7944e-01    6.6813e-01    1.1453e+00    9.1020e+02    5.0688e-01    5.5718e-01    7.0144e-01    2.9856e-01    4.7986e-01    5.2014e-01    8.6243e-01    1.3757e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.9369e+01    3.1876e+00    6.6729e-01    4.7240e+02    5.6359e-01    5.8550e-01    4.1109e-01    1.9814e+02    5.8963e-01    6.7477e-01    1.1028e+00    9.3857e+02    5.1931e-01    5.4022e-01    3.7978e-01    1.7876e+02    5.9378e-01    6.7996e-01    8.9043e-01    7.0031e+02    5.4015e-01    5.5976e-01    4.6425e-01    4.6425e-01    5.8519e-01    6.6716e-01    1.4315e+00    1.3787e+03    4.8229e-01    5.0939e-01    6.2959e-01    3.7041e-01    4.3698e-01    5.6302e-01    7.9008e-01    2.0992e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.0408e+01    2.8678e+00    4.2714e-01    4.0083e+02    5.2288e-01    5.1589e-01    3.1878e-01    2.0490e+02    5.6360e-01    6.0873e-01    5.8960e-01    6.9456e+02    4.6184e-01    4.5913e-01    3.0648e-01    1.8778e+02    5.7257e-01    6.2008e-01    5.1484e-01    5.5568e+02    4.8677e-01    4.8093e-01    3.4140e-01    3.4140e-01    5.5249e-01    5.9275e-01    7.0040e-01    9.3074e+02    4.2854e-01    4.2939e-01    5.9987e-01    4.0013e-01    4.2090e-01    5.7910e-01    7.6116e-01    2.3884e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.1601e+01    2.5259e+00    3.2251e-01    3.7635e+02    4.7483e-01    4.6148e-01    2.5752e-01    2.1180e+02    5.1190e-01    5.4871e-01    4.2384e-01    6.3291e+02    4.1704e-01    4.0108e-01    2.4944e-01    1.9747e+02    5.1868e-01    5.5815e-01    3.8129e-01    5.2025e+02    4.3956e-01    4.2293e-01    2.6873e-01    2.6873e-01    5.0267e-01    5.3352e-01    4.9282e-01    8.2406e+02    3.8668e-01    3.7423e-01    6.0924e-01    3.9076e-01    4.4580e-01    5.5420e-01    7.5999e-01    2.4001e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.3014e+01    2.3069e+00    1.5500e-01    2.6609e+02    3.9611e-01    3.6810e-01    1.2745e-01    1.8250e+02    4.1668e-01    4.1120e-01    2.2060e-01    4.6509e+02    3.4715e-01    3.2172e-01    1.2357e-01    1.7246e+02    4.2290e-01    4.1744e-01    1.9173e-01    3.7551e+02    3.6481e-01    3.3801e-01    1.3256e-01    1.3256e-01    4.0974e-01    4.0162e-01    2.6978e-01    6.1687e+02    3.2641e-01    3.0427e-01    7.0419e-01    2.9581e-01    5.3886e-01    4.6114e-01    8.3645e-01    1.6355e-01    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.4605e+01    2.1808e+00    9.8017e-02    2.0733e+02    3.4935e-01    3.2100e-01    8.2612e-02    1.6423e+02    3.5648e-01    3.3468e-01    1.6817e-01    4.0361e+02    3.1683e-01    2.9412e-01    8.0039e-02    1.5651e+02    3.6024e-01    3.3836e-01    1.3469e-01    3.1098e+02    3.2711e-01    3.0221e-01    8.6114e-02    8.6114e-02    3.5352e-01    3.3086e-01    2.2638e-01    5.6501e+02    3.0435e-01    2.8605e-01    8.1996e-01    1.8004e-01    6.7101e-01    3.2899e-01    9.1514e-01    8.4857e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.6370e+01    2.1157e+00    8.8351e-02    1.6985e+02    3.6277e-01    3.4218e-01    8.1987e-02    1.4909e+02    3.6866e-01    3.5480e-01    1.3047e-01    3.0725e+02    3.2378e-01    2.9806e-01    7.9580e-02    1.4432e+02    3.6986e-01    3.5542e-01    1.1086e-01    2.3536e+02    3.4455e-01    3.2019e-01    8.3974e-02    8.3974e-02    3.6589e-01    3.5016e-01    1.7201e-01    4.3764e+02    3.0303e-01    2.8215e-01    8.6873e-01    1.3127e-01    7.1958e-01    2.8042e-01    9.5029e-01    4.9707e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.8182e+01    2.0721e+00    9.4292e-02    1.5884e+02    3.8478e-01    3.7249e-01    8.7820e-02    1.4148e+02    3.8833e-01    3.8299e-01    1.4252e-01    2.8823e+02    3.5836e-01    3.3087e-01    8.3911e-02    1.3647e+02    3.8865e-01    3.8076e-01    1.2401e-01    2.2291e+02    3.7370e-01    3.5746e-01    9.0604e-02    9.0604e-02    3.8718e-01    3.8130e-01    1.7794e-01    4.2716e+02    3.3043e-01    2.9407e-01    8.8169e-01    1.1831e-01    7.4115e-01    2.5885e-01    9.5778e-01    4.2221e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.0007e+01    2.0139e+00    8.0905e-02    1.5089e+02    3.6955e-01    3.4904e-01    7.4918e-02    1.3640e+02    3.7326e-01    3.5453e-01    1.2413e-01    2.5553e+02    3.4274e-01    3.2696e-01    7.1401e-02    1.3153e+02    3.7392e-01    3.5185e-01    1.0832e-01    2.0674e+02    3.5693e-01    3.4382e-01    7.7321e-02    7.7321e-02    3.7177e-01    3.5306e-01    1.5812e-01    3.4921e+02    3.2167e-01    3.1167e-01    8.7835e-01    1.2165e-01    7.4261e-01    2.5739e-01    9.5564e-01    4.4355e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.2051e+01    2.0604e+00    6.6854e-02    1.2685e+02    3.7198e-01    3.4514e-01    6.3518e-02    1.1635e+02    3.7550e-01    3.5313e-01    9.3523e-02    2.1075e+02    3.4388e-01    3.0737e-01    6.1553e-02    1.1308e+02    3.7665e-01    3.5248e-01    8.2425e-02    1.6729e+02    3.5828e-01    3.3007e-01    6.5068e-02    6.5068e-02    3.7379e-01    3.5093e-01    1.1710e-01    3.0970e+02    3.2109e-01    2.7436e-01    8.8883e-01    1.1117e-01    7.4602e-01    2.5398e-01    9.6568e-01    3.4318e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.4016e+01    2.0390e+00    7.9431e-02    1.4130e+02    3.6829e-01    3.5986e-01    7.2490e-02    1.2624e+02    3.7179e-01    3.6476e-01    1.2737e-01    2.4528e+02    3.4410e-01    3.4180e-01    6.9845e-02    1.2158e+02    3.7390e-01    3.6487e-01    1.0428e-01    1.9241e+02    3.5374e-01    3.5148e-01    7.4949e-02    7.4949e-02    3.6986e-01    3.6267e-01    1.7629e-01    3.4848e+02    3.3418e-01    3.3594e-01    8.7353e-01    1.2647e-01    7.2161e-01    2.7839e-01    9.5577e-01    4.4232e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.6126e+01    1.9500e+00    5.4616e-02    1.2892e+02    3.3934e-01    2.9758e-01    5.1493e-02    1.2110e+02    3.4078e-01    2.9835e-01    9.2743e-02    2.2437e+02    3.2182e-01    2.9246e-01    5.0064e-02    1.1812e+02    3.4191e-01    2.9768e-01    7.4051e-02    1.7505e+02    3.2841e-01    2.9727e-01    5.2815e-02    5.2815e-02    3.3994e-01    2.9876e-01    1.2853e-01    3.3230e+02    3.1471e-01    2.7891e-01    9.2427e-01    7.5731e-02    8.1022e-01    1.8978e-01    9.7621e-01    2.3795e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.8252e+01    2.0030e+00    6.9779e-02    1.2808e+02    3.6725e-01    3.5266e-01    6.4916e-02    1.1829e+02    3.6877e-01    3.5433e-01    1.1779e-01    2.2476e+02    3.5216e-01    3.4386e-01    6.2589e-02    1.1469e+02    3.6943e-01    3.5305e-01    9.6203e-02    1.7730e+02    3.5921e-01    3.5175e-01    6.6991e-02    6.6991e-02    3.6822e-01    3.5437e-01    1.6181e-01    3.2711e+02    3.3512e-01    3.3096e-01    9.0803e-01    9.1970e-02    7.8612e-01    2.1388e-01    9.7060e-01    2.9400e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.0203e+01    1.9952e+00    7.2852e-02    1.4825e+02    3.6148e-01    3.2950e-01    6.8262e-02    1.3434e+02    3.6492e-01    3.3693e-01    1.0900e-01    2.5780e+02    3.3438e-01    2.9717e-01    6.6045e-02    1.2972e+02    3.6640e-01    3.3737e-01    9.3487e-02    2.0441e+02    3.4657e-01    3.1383e-01    7.0358e-02    7.0358e-02    3.6348e-01    3.3466e-01    1.3430e-01    3.5446e+02    3.1219e-01    2.7477e-01    8.8733e-01    1.1267e-01    7.5195e-01    2.4805e-01    9.6099e-01    3.9008e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.2356e+01    1.9137e+00    5.3598e-02    1.2724e+02    3.3078e-01    2.9638e-01    5.0298e-02    1.1739e+02    3.3271e-01    2.9996e-01    9.0215e-02    2.3659e+02    3.0941e-01    2.7605e-01    4.8872e-02    1.1395e+02    3.3357e-01    3.0015e-01    7.3221e-02    1.8241e+02    3.1923e-01    2.8643e-01    5.1623e-02    5.1623e-02    3.3181e-01    2.9916e-01    1.2100e-01    3.4236e+02    2.9601e-01    2.6114e-01    9.1733e-01    8.2674e-02    8.0589e-01    1.9411e-01    9.7152e-01    2.8475e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.4477e+01    2.0398e+00    6.5617e-02    1.2632e+02    3.6390e-01    3.4186e-01    6.1227e-02    1.1538e+02    3.6518e-01    3.4668e-01    9.8193e-02    2.0751e+02    3.5444e-01    3.2121e-01    5.8422e-02    1.1249e+02    3.6361e-01    3.4183e-01    8.5045e-02    1.6368e+02    3.6469e-01    3.4192e-01    6.3330e-02    6.3330e-02    3.6513e-01    3.4672e-01    1.2699e-01    3.1421e+02    3.3098e-01    2.8782e-01    8.8124e-01    1.1876e-01    7.2976e-01    2.7024e-01    9.6409e-01    3.5915e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.6310e+01    2.0362e+00    9.2908e-02    1.5423e+02    3.8084e-01    3.7594e-01    8.0739e-02    1.3189e+02    3.8289e-01    3.7972e-01    1.5779e-01    2.7331e+02    3.6992e-01    3.6602e-01    7.7528e-02    1.2770e+02    3.8292e-01    3.7776e-01    1.2771e-01    2.1425e+02    3.7614e-01    3.7347e-01    8.4579e-02    8.4579e-02    3.8275e-01    3.8075e-01    2.1931e-01    4.0717e+02    3.5191e-01    3.5006e-01    8.4207e-01    1.5793e-01    6.9353e-01    3.0647e-01    9.3818e-01    6.1823e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.8323e+01    2.0594e+00    8.2826e-02    1.5721e+02    3.7323e-01    3.4506e-01    7.6651e-02    1.3594e+02    3.8064e-01    3.6055e-01    1.1606e-01    2.7163e+02    3.3332e-01    2.9935e-01    7.3466e-02    1.3026e+02    3.8264e-01    3.6062e-01    1.0388e-01    2.1785e+02    3.5204e-01    3.2289e-01    7.9455e-02    7.9455e-02    3.7785e-01    3.5725e-01    1.3676e-01    3.8529e+02    2.9922e-01    2.6196e-01    8.4328e-01    1.5672e-01    6.9228e-01    3.0772e-01    9.4116e-01    5.8836e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.0147e+01    2.0374e+00    1.0685e-01    1.8043e+02    3.7854e-01    3.7193e-01    9.4406e-02    1.5060e+02    3.8342e-01    3.8533e-01    1.6696e-01    3.2463e+02    3.5495e-01    3.3964e-01    9.0488e-02    1.4451e+02    3.8401e-01    3.8506e-01    1.4202e-01    2.5768e+02    3.6675e-01    3.5532e-01    9.8577e-02    9.8577e-02    3.8196e-01    3.8308e-01    2.0894e-01    4.4811e+02    3.3623e-01    3.1800e-01    8.2857e-01    1.7143e-01    6.8260e-01    3.1740e-01    9.2508e-01    7.4915e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.1973e+01    1.9979e+00    9.7833e-02    1.7102e+02    3.7451e-01    3.6389e-01    8.7960e-02    1.4296e+02    3.8296e-01    3.8091e-01    1.4173e-01    2.9577e+02    3.3694e-01    3.2395e-01    8.5720e-02    1.3765e+02    3.8506e-01    3.8376e-01    1.2242e-01    2.3877e+02    3.5309e-01    3.3895e-01    9.0444e-02    9.0444e-02    3.7922e-01    3.7574e-01    1.7960e-01    4.0068e+02    3.2234e-01    3.0950e-01    8.1637e-01    1.8363e-01    6.6998e-01    3.3002e-01    9.1711e-01    8.2889e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.4133e+01    1.9105e+00    5.5400e-02    1.3131e+02    3.2874e-01    2.9672e-01    5.2019e-02    1.2191e+02    3.3052e-01    2.9908e-01    8.7821e-02    2.2140e+02    3.1167e-01    2.8401e-01    4.9602e-02    1.1807e+02    3.3114e-01    2.9583e-01    7.6161e-02    1.7872e+02    3.2013e-01    2.9881e-01    5.3695e-02    5.3695e-02    3.2989e-01    2.9945e-01    1.0647e-01    3.0170e+02    2.9420e-01    2.6084e-01    9.0555e-01    9.4451e-02    7.8168e-01    2.1832e-01    9.6769e-01    3.2313e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.6054e+01    1.9846e+00    9.3190e-02    1.6218e+02    3.7404e-01    3.6493e-01    8.2688e-02    1.3899e+02    3.7917e-01    3.7301e-01    1.5129e-01    2.9045e+02    3.4565e-01    3.4249e-01    8.0291e-02    1.3460e+02    3.8080e-01    3.7364e-01    1.2422e-01    2.2851e+02    3.5779e-01    3.5216e-01    8.5539e-02    8.5539e-02    3.7682e-01    3.7072e-01    2.0522e-01    4.1072e+02    3.3336e-01    3.3318e-01    8.4691e-01    1.5309e-01    7.0634e-01    2.9366e-01    9.3606e-01    6.3937e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.7970e+01    1.9121e+00    6.9606e-02    1.4578e+02    3.5059e-01    3.2318e-01    6.3375e-02    1.3138e+02    3.5349e-01    3.2541e-01    1.1709e-01    2.5548e+02    3.2848e-01    3.1427e-01    6.1031e-02    1.2669e+02    3.5519e-01    3.2512e-01    9.7397e-02    2.0764e+02    3.3569e-01    3.1930e-01    6.5638e-02    6.5638e-02    3.5206e-01    3.2521e-01    1.5159e-01    3.4377e+02    3.2031e-01    3.0602e-01    8.8399e-01    1.1601e-01    7.6420e-01    2.3580e-01    9.5383e-01    4.6174e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    8.0024e+01    1.8597e+00    5.1213e-02    1.1581e+02    3.3467e-01    3.0662e-01    4.6931e-02    1.0727e+02    3.3509e-01    3.0436e-01    1.0187e-01    2.1692e+02    3.2970e-01    3.1955e-01    4.4540e-02    1.0447e+02    3.3375e-01    2.9890e-01    8.1639e-02    1.6752e+02    3.3887e-01    3.2766e-01    4.8621e-02    4.8621e-02    3.3502e-01    3.0588e-01    1.4581e-01    3.1576e+02    3.2188e-01    3.1590e-01    9.2205e-01    7.7945e-02    8.2014e-01    1.7986e-01    9.7333e-01    2.6666e-02    
